"Race","Year","Period","Year_Qtr","Rate","Caucasian_dummy","Hispanic_dummy","African_American_dummy","Asian_dummy"
"Caucasian",1999,1,"1999 Qtr1",4.1,1,0,0,0
"Caucasian",1999,2,"1999 Qtr2",3.7,1,0,0,0
"Caucasian",1999,3,"1999 Qtr3",3.6,1,0,0,0
"Caucasian",1999,4,"1999 Qtr4",3.3,1,0,0,0
"Caucasian",2000,1,"2000 Qtr1",3.9,1,0,0,0
"Caucasian",2000,2,"2000 Qtr2",3.4,1,0,0,0
"Caucasian",2000,3,"2000 Qtr3",3.5,1,0,0,0
"Caucasian",2000,4,"2000 Qtr4",3.2,1,0,0,0
"Caucasian",2001,1,"2001 Qtr1",4.1,1,0,0,0
"Caucasian",2001,2,"2001 Qtr2",3.8,1,0,0,0
"Caucasian",2001,3,"2001 Qtr3",4.1,1,0,0,0
"Caucasian",2001,4,"2001 Qtr4",4.6,1,0,0,0
"Caucasian",2002,1,"2002 Qtr1",5.6,1,0,0,0
"Caucasian",2002,2,"2002 Qtr2",5.1,1,0,0,0
"Caucasian",2002,3,"2002 Qtr3",5,1,0,0,0
"Caucasian",2002,4,"2002 Qtr4",4.8,1,0,0,0
"Caucasian",2003,1,"2003 Qtr1",5.6,1,0,0,0
"Caucasian",2003,2,"2003 Qtr2",5.3,1,0,0,0
"Caucasian",2003,3,"2003 Qtr3",5.2,1,0,0,0
"Caucasian",2003,4,"2003 Qtr4",4.8,1,0,0,0
"Caucasian",2004,1,"2004 Qtr1",5.5,1,0,0,0
"Caucasian",2004,2,"2004 Qtr2",4.9,1,0,0,0
"Caucasian",2004,3,"2004 Qtr3",4.6,1,0,0,0
"Caucasian",2004,4,"2004 Qtr4",4.3,1,0,0,0
"Caucasian",2005,1,"2005 Qtr1",4.9,1,0,0,0
"Caucasian",2005,2,"2005 Qtr2",4.3,1,0,0,0
"Caucasian",2005,3,"2005 Qtr3",4.3,1,0,0,0
"Caucasian",2005,4,"2005 Qtr4",4,1,0,0,0
"Caucasian",2006,1,"2006 Qtr1",4.4,1,0,0,0
"Caucasian",2006,2,"2006 Qtr2",4,1,0,0,0
"Caucasian",2006,3,"2006 Qtr3",4,1,0,0,0
"Caucasian",2006,4,"2006 Qtr4",3.7,1,0,0,0
"Caucasian",2007,1,"2007 Qtr1",4.3,1,0,0,0
"Caucasian",2007,2,"2007 Qtr2",3.9,1,0,0,0
"Caucasian",2007,3,"2007 Qtr3",4.2,1,0,0,0
"Caucasian",2007,4,"2007 Qtr4",4,1,0,0,0
"Caucasian",2008,1,"2008 Qtr1",4.8,1,0,0,0
"Caucasian",2008,2,"2008 Qtr2",4.7,1,0,0,0
"Caucasian",2008,3,"2008 Qtr3",5.3,1,0,0,0
"Caucasian",2008,4,"2008 Qtr4",5.9,1,0,0,0
"Caucasian",2009,1,"2009 Qtr1",8.2,1,0,0,0
"Caucasian",2009,2,"2009 Qtr2",8.3,1,0,0,0
"Caucasian",2009,3,"2009 Qtr3",8.8,1,0,0,0
"Caucasian",2009,4,"2009 Qtr4",8.7,1,0,0,0
"Caucasian",2010,1,"2010 Qtr1",9.5,1,0,0,0
"Caucasian",2010,2,"2010 Qtr2",8.6,1,0,0,0
"Caucasian",2010,3,"2010 Qtr3",8.5,1,0,0,0
"Caucasian",2010,4,"2010 Qtr4",8.3,1,0,0,0
"Caucasian",2011,1,"2011 Qtr1",8.6,1,0,0,0
"Caucasian",2011,2,"2011 Qtr2",7.9,1,0,0,0
"Caucasian",2011,3,"2011 Qtr3",7.9,1,0,0,0
"Caucasian",2011,4,"2011 Qtr4",7.3,1,0,0,0
"Caucasian",2012,1,"2012 Qtr1",7.8,1,0,0,0
"Caucasian",2012,2,"2012 Qtr2",7.2,1,0,0,0
"Caucasian",2012,3,"2012 Qtr3",7.2,1,0,0,0
"Caucasian",2012,4,"2012 Qtr4",6.6,1,0,0,0
"Caucasian",2013,1,"2013 Qtr1",7.3,1,0,0,0
"Caucasian",2013,2,"2013 Qtr2",6.5,1,0,0,0
"Caucasian",2013,3,"2013 Qtr3",6.4,1,0,0,0
"Caucasian",2013,4,"2013 Qtr4",5.8,1,0,0,0
"Caucasian",2014,1,"2014 Qtr1",6.1,1,0,0,0
"Caucasian",2014,2,"2014 Qtr2",5.2,1,0,0,0
"Caucasian",2014,3,"2014 Qtr3",5.3,1,0,0,0
"Caucasian",2014,4,"2014 Qtr4",4.6,1,0,0,0
"Caucasian",2015,1,"2015 Qtr1",5.1,1,0,0,0
"Caucasian",2015,2,"2015 Qtr2",4.6,1,0,0,0
"Caucasian",2015,3,"2015 Qtr3",4.5,1,0,0,0
"Caucasian",2015,4,"2015 Qtr4",4.1,1,0,0,0
"Caucasian",2016,1,"2016 Qtr1",4.6,1,0,0,0
"Caucasian",2016,2,"2016 Qtr2",4.2,1,0,0,0
"Caucasian",2016,3,"2016 Qtr3",4.4,1,0,0,0
"Caucasian",2016,4,"2016 Qtr4",4,1,0,0,0
"Caucasian",2017,1,"2017 Qtr1",4.3,1,0,0,0
"Caucasian",2017,2,"2017 Qtr2",3.7,1,0,0,0
"Caucasian",2017,3,"2017 Qtr3",3.8,1,0,0,0
"Caucasian",2017,4,"2017 Qtr4",3.4,1,0,0,0
"Caucasian",2018,1,"2018 Qtr1",3.9,1,0,0,0
"Caucasian",2018,2,"2018 Qtr2",3.4,1,0,0,0
"Caucasian",2018,3,"2018 Qtr3",3.4,1,0,0,0
"Caucasian",2018,4,"2018 Qtr4",3.2,1,0,0,0
"Caucasian",2019,1,"2019 Qtr1",3.7,1,0,0,0
"Caucasian",2019,2,"2019 Qtr2",3.1,1,0,0,0
"Caucasian",2019,3,"2019 Qtr3",3.4,1,0,0,0
"Caucasian",2019,4,"2019 Qtr4",3,1,0,0,0
"Hispanic",1999,1,"1999 Qtr1",7,0,1,0,0
"Hispanic",1999,2,"1999 Qtr2",6.4,0,1,0,0
"Hispanic",1999,3,"1999 Qtr3",6.5,0,1,0,0
"Hispanic",1999,4,"1999 Qtr4",5.8,0,1,0,0
"Hispanic",2000,1,"2000 Qtr1",6.3,0,1,0,0
"Hispanic",2000,2,"2000 Qtr2",5.4,0,1,0,0
"Hispanic",2000,3,"2000 Qtr3",5.8,0,1,0,0
"Hispanic",2000,4,"2000 Qtr4",5.4,0,1,0,0
"Hispanic",2001,1,"2001 Qtr1",6.6,0,1,0,0
"Hispanic",2001,2,"2001 Qtr2",6.1,0,1,0,0
"Hispanic",2001,3,"2001 Qtr3",6.3,0,1,0,0
"Hispanic",2001,4,"2001 Qtr4",7.2,0,1,0,0
"Hispanic",2002,1,"2002 Qtr1",8.1,0,1,0,0
"Hispanic",2002,2,"2002 Qtr2",7.1,0,1,0,0
"Hispanic",2002,3,"2002 Qtr3",7.3,0,1,0,0
"Hispanic",2002,4,"2002 Qtr4",7.7,0,1,0,0
"Hispanic",2003,1,"2003 Qtr1",8.5,0,1,0,0
"Hispanic",2003,2,"2003 Qtr2",7.6,0,1,0,0
"Hispanic",2003,3,"2003 Qtr3",7.6,0,1,0,0
"Hispanic",2003,4,"2003 Qtr4",7,0,1,0,0
"Hispanic",2004,1,"2004 Qtr1",8.1,0,1,0,0
"Hispanic",2004,2,"2004 Qtr2",6.5,0,1,0,0
"Hispanic",2004,3,"2004 Qtr3",6.7,0,1,0,0
"Hispanic",2004,4,"2004 Qtr4",6.5,0,1,0,0
"Hispanic",2005,1,"2005 Qtr1",6.7,0,1,0,0
"Hispanic",2005,2,"2005 Qtr2",5.7,0,1,0,0
